"file","calls_useLanguage","named_import","default_import","bad_path_languagecontext","good_path_LanguageContext"
"D:\CBTC-FINAL\cbtc-lms\app\about\page.tsx","True","True","False","False","True"
"D:\CBTC-FINAL\cbtc-lms\app\cart\page.tsx","True","True","False","False","True"
"D:\CBTC-FINAL\cbtc-lms\app\checkout\page.tsx","True","True","False","False","True"
"D:\CBTC-FINAL\cbtc-lms\app\contact\page.tsx","True","True","False","False","True"
"D:\CBTC-FINAL\cbtc-lms\app\contexts\LanguageContext.tsx","True","False","False","False","False"
"D:\CBTC-FINAL\cbtc-lms\app\courses\[id]\coursedetailclient.tsx","True","False","False","False","False"
"D:\CBTC-FINAL\cbtc-lms\app\courses\[id]\coursesdata.ts","True","False","False","False","False"
"D:\CBTC-FINAL\cbtc-lms\app\courses\[id]\page.tsx","True","False","False","False","False"
"D:\CBTC-FINAL\cbtc-lms\app\courses\page.tsx","True","True","False","False","False"
"D:\CBTC-FINAL\cbtc-lms\app\diagnostic\page.tsx","True","True","False","False","True"
"D:\CBTC-FINAL\cbtc-lms\app\page.tsx","True","True","False","False","False"
"D:\CBTC-FINAL\cbtc-lms\components\bilingualtext.tsx","True","True","False","False","True"
"D:\CBTC-FINAL\cbtc-lms\components\dashboard\progressforecast.tsx","True","True","False","False","True"
"D:\CBTC-FINAL\cbtc-lms\components\debug\statedebugger.tsx","True","True","False","False","True"
"D:\CBTC-FINAL\cbtc-lms\components\features\progressforecasting.tsx","False","True","False","False","True"
"D:\CBTC-FINAL\cbtc-lms\components\layout\navbar.tsx","True","True","False","False","False"
"D:\CBTC-FINAL\cbtc-lms\lib\scriptdoctor.ts","False","False","False","True","False"
"D:\CBTC-FINAL\cbtc-lms\scripts\buildrepairs.js","False","False","False","True","False"
